"id" "name"
1 "Local File Import"
2 "Bioanalyzer Import"
3 "LS 400 Import"
4 "Agilent Scanner Import"
5 "LCQ Deca Import"
6 "LCQ XP Import"
7 "LTQ_1"
8 "LTQFT_1"
9 "LTQFT_1 (Metabolomics) Import"
10 "ORBI_1"
11 "ORBI_1 (Metabolomics) Import"
12 "ORBI_2"
13 "ORBI_2 XL (Metabolomics) Import"
14 "Q-TOF Import"
15 "TSQ_1 Quantum (Proteomics) Import"
16 "TSQ_1 Quantum (Metabolomics) Import"
17 "Affymetrix GeneChip Import"
18 "T100_1 Import"
19 "mascot_dat"
20 "Affymetrix QC Report"
21 "Two Group Analysis"
22 "Exon Two Group Analysis"
23 "Demo Method"
24 "MS Parser"
26 "T3PQ -  Lable-free Quantification of Proteins"
27 "Peakplot - Label tandem mass specs"
28 "Scaffold, mudpit"
29 "SRM Join"
30 "454_1 Reads Import"
34 "FGCZ_sequest_pepxml Import"
35 "FGCZ_peptideprophet Import"
36 "FGCZ_proteinprophet Import"
37 "FGCZ_pepxml2csv"
38 "FGCZ_sequest_tgz Import"
39 "Agilent QC Report"
40 "FGCZ_srm_check"
41 "ANOVA analysis"
42 "Exon Anova Analysis"
43 "TSQ_2 Vantage (Metabolomics) Import"
44 "GCT_1"
45 "Scaffold for GeLC-MS Experiments"
48 "Scaffold with x_tandem, no mudPit"
50 "Scaffold, no mudPit"
51 "SRM2TIQAM"
52 "MassSpec Decoy QC"
53 "TSQ_2 Vantage (Proteomics) Import"
54 "PieIntensityMSMS"
55 "MS Parser with subset hits"
56 "Exon Plots and Tables Analysis"
59 "TNPQ -  Lable-free Quantification of Proteins"
60 "SuperHirnV3"
61 "FASTA"
62 "ProtBLAST swiss-prot annotation"
63 "BLAST annotation with uniref100"
64 "Download via Torrent"
65 "BLAST annotation with swiss-prot"
66 "Mascot iTRAQ export"
68 "InterProScan (beta)"
69 "454_1 SFF files Import"
71 "Pfam Scan (beta)"
72 "Pfam Analysis (beta)"
73 "BAM/SAM File Import"
74 "Genome Viewer Setup"
76 "SOLiD csfasta qual file Import"
77 "ORBI_3 (BatlleX, Hoenggerberg) Import"
79 "Battle X (Basel) Import"
80 "454_1 Quality Scores Import"
81 "G2HD_1 Import"
82 "PROTEONXPR36 Import"
84 "Progenesis Import"
85 "ZIP Download"
87 "ORBI_3"
88 "Exclusion list"
89 "VELOS_2"
90 "VELOS_1"
91 "TOFTOF_2 Import"
92 "QTRAP_1 Import"
93 "TRIPLETOF_1"
94 "GFF/GTF file Import"
95 "Sequence Report File Import"
101 "NGS Read Import"
104 "Map with SHRiMP"
105 "Torrent Download"
106 "Convert SFF to FastQ"
107 "QC report for FastQ files"
108 "Map with Bowtie"
109 "Transcript Hits In BAM"
110 "Trim with FAR"
111 "Import Affymetrix Data"
112 "Create v4 CEL files"
114 "Local File Import (no annotation)"
115 "SNP table importer"
116 "Count BAM"
117 "NGS Count QC"
118 "NGS Two Group Analysis"
119 "Mascot Server Export csv"
120 "Map with Bowtie Single"
121 "Mascot Server Export into csv-quant"
122 "Mascot Server Export XML-ID"
123 "Mascot Server Export XML-quant"
124 "Map Shrimp Paired"
